date,source,headline,direction,form_type,accession_no,source_url
2019-07-08,LW_TRACKER,", that effectively curtailed broker-dealers from custodying digital asset securities. The withdrawal of the 2019 Joint Statement is consistent with the continued push of the SEC and Staff (as well as other federal agencies) to dial back statements and guidance issued in previous administrations, in ",negative,POLICY_TRACKER,"2019-07-08_, that effectively curtailed broker-dealers from c",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2020-07-22,LW_TRACKER,". Specifically, a bank may provide cryptoasset custody services in a fiduciary or non-fiduciary capacity; outsource bank-permissible cryptoasset activities, including custody and execution services to third parties (e.g., a sub-custodian); buy and sell digital assets held in custody on a customer&rs",negative,POLICY_TRACKER,"2020-07-22_. Specifically, a bank may provide cryptoasset cus",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2020-09-21,LW_TRACKER,", the OCC issued Interpretive Letter #1172 (the Letter), giving national banks and federal savings associations (FSAs) the greenlight to hold deposits that serve as reserves for the underlying assets backing certain &ldquo;stablecoins&rdquo; on behalf of customers. According to the Letter, national ",negative,POLICY_TRACKER,"2020-09-21_, the OCC issued Interpretive Letter #1172 (the Le",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2020-10-21,LW_TRACKER,", Staff Advisory No. 20-34 (&ldquo;Accepting Virtual Currencies from Customers into Segregation&rdquo;). Staff Advisory No. 20-34 clarified the CFTC Staff&rsquo;s views on the acceptance, holding, and reporting of virtual currency in segregated accounts by futures commission merchants (FCMs) and the",positive,POLICY_TRACKER,"2020-10-21_, Staff Advisory No. 20-34 (&ldquo;Accepting Virtu",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2021-11-18,LW_TRACKER,"). Interpretive Letter 1179 directed that the activities addressed in previous OCC interpretive letters &mdash; i.e., 1170 (bank crypto custody), 1172 (bank stablecoin reserve holding), and 1174 (banks acting as a node on a distributed ledger) &mdash; were legally permissible, provided the bank coul",negative,POLICY_TRACKER,2021-11-18_). Interpretive Letter 1179 directed that the acti,https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2022-08-08,LW_TRACKER,", marking the first economic sanctions against a decentralized finance (DeFi) protocol. OFAC stated that Tornado Cash had &ldquo;indiscriminately&rdquo; processed transactions and &ldquo;repeatedly failed to impose effective controls designed to stop it from laundering funds for malicious cyber acto",negative,POLICY_TRACKER,"2022-08-08_, marking the first economic sanctions against a d",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2022-08-08,LW_TRACKER,", OFAC announced sanctions against decentralized virtual currency &ldquo;mixer&rdquo; Tornado Cash (and 44 associated USDC and ETH addresses) &mdash; the first action of its kind against a decentralized finance (DeFi) protocol. Mixers (or &ldquo;blenders&rdquo;) are centralized platforms or decentra",negative,POLICY_TRACKER,"2022-08-08_, OFAC announced sanctions against decentralized v",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2022-08-16,LW_TRACKER,", the FRB issued a Supervision and Regulation Letter outlining its expectations for FRB-supervised banking organizations engaged in cryptoasset-related activities (SR Letter 22-6). This follows the publication of a financial institution letter issued by the FDIC in",negative,POLICY_TRACKER,"2022-08-16_, the FRB issued a Supervision and Regulation Lett",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2023-01-03,LW_TRACKER,"), and (ii) the &ldquo;Joint Statement on Liquidity Risks to Banking Organizations Resulting from Crypto-Asset Market Vulnerabilities&rdquo; (",negative,POLICY_TRACKER,"2023-01-03_), and (ii) the &ldquo;Joint Statement on Liquidit",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
2023-01-03,LW_TRACKER,", the FRB, the FDIC, and the OCC (collectively, the agencies) issued a concise joint statement on crypto-asset risks to banking organizations (&ldquo;Joint Statement on Crypto-Asset Risks to Banking Organizations&rdquo;). With the safety and soundness of the US banking system in mind, the statement ",negative,POLICY_TRACKER,"2023-01-03_, the FRB, the FDIC, and the OCC (collectively, th",https://www.lw.com/en/us-crypto-policy-tracker/regulatory-developments
